iter	Accuracy	Logloss
0	0.7705	0.657556146
1	0.776	0.6280746824
2	0.778	0.6011860374
3	0.7808333333	0.5796096818
4	0.7815833333	0.5607278015
5	0.7824166667	0.5436923972
6	0.78575	0.5301909419
7	0.7834166667	0.5173135259
8	0.7843333333	0.5078511872
9	0.7855	0.4978979747
10	0.7836666667	0.4896757443
11	0.7844166667	0.4832762101
12	0.7849166667	0.4765426419
13	0.7863333333	0.4709857529
14	0.7876666667	0.466042024
15	0.7875833333	0.4611460943
16	0.7873333333	0.456135162
17	0.7894166667	0.452266574
18	0.7901666667	0.4489392523
19	0.7904166667	0.4452799108
20	0.78975	0.4422331827
21	0.7909166667	0.4393525594
22	0.7925	0.4370724925
23	0.7930833333	0.4348145481
24	0.7930833333	0.432992131
25	0.7938333333	0.4312377113
26	0.79375	0.4298029882
27	0.7949166667	0.428051021
28	0.79525	0.4260822965
29	0.7963333333	0.4244586729
30	0.796	0.423317654
31	0.7961666667	0.4216871739
32	0.7965	0.4204561979
33	0.7980833333	0.4196671765
34	0.7986666667	0.4183922114
35	0.7990833333	0.4172421606
36	0.799	0.4162820487
37	0.8001666667	0.415109111
38	0.7998333333	0.4139315904
39	0.8009166667	0.413100132
40	0.8015	0.4121651256
41	0.8015833333	0.4111810303
42	0.8015	0.4103675637
43	0.8021666667	0.4094848501
44	0.8030833333	0.4086052693
45	0.8039166667	0.4079122635
46	0.8039166667	0.4071359138
47	0.805	0.4062440299
48	0.8049166667	0.4054357646
49	0.8051666667	0.4048563003
50	0.8055	0.4041985437
51	0.80625	0.4034868404
52	0.8063333333	0.4029515049
53	0.8064166667	0.4023005207
54	0.807	0.4016860698
55	0.8074166667	0.4011475067
56	0.8080833333	0.4006554087
57	0.8080833333	0.4000358513
58	0.809	0.3994790192
59	0.80825	0.3990158047
60	0.80825	0.3984976167
61	0.8086666667	0.3980992116
62	0.8096666667	0.3975529483
63	0.80975	0.3970686576
64	0.81025	0.396725954
65	0.8096666667	0.3962612144
66	0.8101666667	0.3957526712
67	0.8109166667	0.3954728163
68	0.8110833333	0.3947833193
69	0.8113333333	0.3941809267
70	0.8116666667	0.3938410762
71	0.81175	0.3934052023
72	0.8126666667	0.3927078134
73	0.8131666667	0.3923164612
74	0.813	0.3919747965
75	0.8130833333	0.3915768162
76	0.8129166667	0.3911980159
77	0.8134166667	0.3908216601
78	0.8133333333	0.3905211815
79	0.8139166667	0.3902431548
80	0.8144166667	0.3899280416
81	0.8148333333	0.3895037375
82	0.81475	0.3892697223
83	0.81525	0.3887386989
84	0.816	0.3884277532
85	0.8155833333	0.3879904741
86	0.8155833333	0.3877579463
87	0.8158333333	0.3873922444
88	0.8155	0.3869958058
89	0.8159166667	0.386520897
90	0.81575	0.3861849867
91	0.8158333333	0.3859398854
92	0.8165833333	0.3856028956
93	0.8169166667	0.3852655045
94	0.817	0.3849983441
95	0.8171666667	0.3846571842
96	0.81725	0.3844373573
97	0.8180833333	0.3839527912
98	0.8181666667	0.3837718794
99	0.8180833333	0.3834805241
100	0.8178333333	0.3831597401
101	0.81775	0.3827833838
102	0.8185833333	0.3823734961
103	0.8184166667	0.3821427084
104	0.81875	0.3819570906
105	0.8191666667	0.3816236893
106	0.819	0.3813132887
107	0.81925	0.3811386831
108	0.8193333333	0.3808339611
109	0.81975	0.380487181
110	0.8195833333	0.3802748579
111	0.8205	0.3800036254
112	0.8205	0.379792832
113	0.8206666667	0.3795431463
114	0.82125	0.3792505402
115	0.8219166667	0.3788992304
116	0.8215	0.3786087417
117	0.8215833333	0.3784562715
118	0.8218333333	0.3781372835
119	0.82225	0.3779259432
120	0.82225	0.3777111432
121	0.8223333333	0.3774635736
122	0.8225833333	0.3772063958
123	0.8221666667	0.3769812614
124	0.8239166667	0.3765488755
125	0.8239166667	0.3763405024
126	0.82375	0.3762261449
127	0.82475	0.3759181782
128	0.8243333333	0.3756884751
129	0.8246666667	0.375377035
130	0.8243333333	0.3749372855
131	0.82425	0.3746928519
132	0.82425	0.3745415169
133	0.82425	0.374402264
134	0.8246666667	0.3740522977
135	0.8243333333	0.3738092992
136	0.82475	0.3734901754
137	0.8248333333	0.3732779322
138	0.8255	0.3729051518
139	0.8263333333	0.3727255855
140	0.8259166667	0.3724391454
141	0.82625	0.3722266444
142	0.8268333333	0.3720225804
143	0.82675	0.3717990235
144	0.8268333333	0.3715757482
145	0.8274166667	0.3713232744
146	0.8278333333	0.3711317307
147	0.82775	0.3709303961
148	0.8281666667	0.3705732731
149	0.8280833333	0.3704285859
150	0.8280833333	0.370167397
151	0.8283333333	0.3698560674
