iter	Passed	Remaining
0	57	57303
1	61	30598
2	65	21852
3	70	17447
4	75	14969
5	79	13179
6	83	11895
7	88	11013
8	93	10255
9	97	9604
10	101	9121
11	105	8715
12	110	8363
13	114	8078
14	118	7799
15	123	7565
16	126	7333
17	130	7144
18	135	6983
19	139	6829
20	143	6678
21	147	6563
22	152	6460
23	156	6374
24	161	6313
25	166	6234
26	170	6149
27	174	6073
28	179	6010
29	183	5932
30	187	5873
31	192	5817
32	196	5759
33	201	5721
34	205	5670
35	209	5612
36	213	5568
37	218	5527
38	222	5481
39	226	5437
40	230	5389
41	234	5356
42	239	5328
43	243	5290
44	247	5259
45	252	5227
46	256	5198
47	260	5169
48	264	5138
49	268	5107
50	272	5070
51	276	5047
52	281	5032
53	285	5005
54	290	4985
55	294	4971
56	298	4942
57	303	4923
58	307	4909
59	312	4888
60	316	4871
61	321	4858
62	325	4839
63	329	4822
64	334	4806
65	338	4790
66	342	4775
67	347	4768
68	352	4753
69	356	4737
70	361	4725
71	365	4714
72	370	4700
73	374	4685
74	378	4672
75	383	4663
76	388	4651
77	392	4635
78	396	4624
79	400	4611
80	405	4595
81	409	4579
82	413	4565
83	417	4557
84	421	4542
85	426	4531
86	430	4518
87	435	4511
88	439	4498
89	443	4484
90	447	4472
91	451	4460
92	455	4447
93	460	4436
94	464	4420
95	467	4400
96	471	4388
97	475	4376
98	479	4364
99	483	4350
100	487	4337
101	491	4326
102	495	4312
103	499	4301
104	503	4290
105	507	4278
106	511	4268
107	515	4257
108	519	4247
109	523	4239
110	527	4228
111	532	4220
112	535	4207
113	540	4199
114	544	4189
115	548	4179
116	552	4171
117	556	4160
118	560	4153
119	565	4143
120	568	4133
121	573	4125
122	576	4113
123	581	4105
124	585	4100
125	590	4093
126	594	4083
127	598	4077
128	602	4067
129	606	4057
130	610	4048
131	614	4041
132	618	4032
133	622	4025
134	627	4018
135	631	4013
136	635	4005
137	639	3996
138	643	3986
139	648	3982
140	652	3974
141	656	3964
142	660	3956
143	664	3952
144	668	3943
145	672	3936
146	677	3929
147	681	3921
148	685	3916
149	690	3910
150	694	3903
151	698	3896
